player_name,WASPASS_score
Keegan Murray,3.029436109656917
Walker Kessler,2.922439637893006
O.G. Anunoby,2.7715764719412
AJ Griffin,2.6741503124534067
Christian Koloko,2.519955400796609
Dyson Daniels,2.1517588503934606
Ousmane Dieng,1.6394401606257245
Dalen Terry,1.5492821367544587
Orlando Robinson,1.4103082514589338
Kevon Harris,1.2744238923952793
Jalen Williams,
Tari Eason,
Bennedict Mathurin,
Paolo Banchero,
Shaedon Sharpe,
Andrew Nembhard,
Christian Braun,
David Roddy,
Jabari Smith Jr.,
Jaden Ivey,
Ochai Agbaji,
Jalen Duren,
Malaki Branham,
Jeremy Sochan,
Jaden Hardy,
Jaylin Williams,
Jabari Walker,
Caleb Houstan,
MarJon Beauchamp,
Mark Williams,
Simone Fontecchio,
Bryce McGowens,
Max Christie,
AJ Green,
Kennedy Chandler,
Jeff Dowtin Jr.,
Jake LaRavia,
TyTy Washington Jr.,
Johnny Davis,
Blake Wesley,
Moussa Diabate,
Patrick Baldwin,
Dominick Barlow,
Brandon Boston Jr.,
Wendell Moore Jr.,
Kenneth Lofton Jr.,
Peyton Watson,
