Rank,player_name,TOPSIS,player_name,WASPASS,player_name,WSM,player_name,WPM
1,Keegan Murray,0.8395956572862541,Keegan Murray,3.029436109656917,Keegan Murray,5.8477236514311866,Keegan Murray,0.21114856788264735
2,Walker Kessler,0.6979522156862998,Walker Kessler,2.922439637893006,Walker Kessler,5.621421538969953,Walker Kessler,0.22345773681605943
3,AJ Griffin,0.7748774071696322,AJ Griffin,2.6741503124534067,AJ Griffin,5.181182025013981,AJ Griffin,0.16711859989283298
4,Jalen Williams,0.7673942345250018,,,Jalen Williams,5.363804565560018,,
5,O.G. Anunoby,0.7445171728245575,O.G. Anunoby,2.7715764719412,O.G. Anunoby,5.237856728862678,O.G. Anunoby,0.27168281321993615
6,Tari Eason,0.6979522156862998,,,Tari Eason,4.883658015150745,,
7,Bennedict Mathurin,0.733442813119836,,,Bennedict Mathurin,5.237856728862678,,
8,Christian Braun,0.7168377770068627,,,,,,
9,David Roddy,0.6979522156862998,,,,4.883658015150745,,
10,Paolo Banchero,0.6979522156862998,,,Paolo Banchero,5.088976879861711,,
11,,,Christian Koloko,2.519955400796609,Christian Koloko,4.883658015150745,Christian Koloko,0.15625278644247315
12,,,Dyson Daniels,1.2744238923952793,,,Dyson Daniels,0.08400173262725597
13,,,Ousmane Dieng,1.6394401606257245,,,Ousmane Dieng,0.16058875838602596
14,,,Dalen Terry,1.5492821367544587,,,Dalen Terry,0.11004762294203548
15,,,Orlando Robinson,2.7715764719412,,,Orlando Robinson,0.27168281321993615
16,,,Kevon Harris,1.2744238923952793,,,Kevon Harris,0.08400173262725597
17,,0.6979522156862998,,,Shaedon Sharpe,4.883658015150745,,
